#    L    TT             EE             BB             TE          
   275    0.32207E+00    0.20933E-02    0.12208E-02   -0.97303E-02
   276    0.31315E+00    0.21042E-02    0.12143E-02   -0.94522E-02
   277    0.30434E+00    0.21145E-02    0.12077E-02   -0.91640E-02
   278    0.29563E+00    0.21243E-02    0.12008E-02   -0.88665E-02
   279    0.28705E+00    0.21335E-02    0.11937E-02   -0.85603E-02
   280    0.27860E+00    0.21422E-02    0.11865E-02   -0.82460E-02
   281    0.27029E+00    0.21503E-02    0.11790E-02   -0.79244E-02
   282    0.26212E+00    0.21577E-02    0.11714E-02   -0.75961E-02
   283    0.25411E+00    0.21645E-02    0.11637E-02   -0.72617E-02
   284    0.24626E+00    0.21707E-02    0.11558E-02   -0.69221E-02
   285    0.23859E+00    0.21762E-02    0.11477E-02   -0.65777E-02
   286    0.23111E+00    0.21810E-02    0.11395E-02   -0.62294E-02
   287    0.22381E+00    0.21850E-02    0.11312E-02   -0.58777E-02
   288    0.21672E+00    0.21883E-02    0.11228E-02   -0.55234E-02
   289    0.20984E+00    0.21908E-02    0.11142E-02   -0.51671E-02
   290    0.20317E+00    0.21926E-02    0.11055E-02   -0.48095E-02
   291    0.19674E+00    0.21935E-02    0.10968E-02   -0.44512E-02
   292    0.19054E+00    0.21936E-02    0.10880E-02   -0.40930E-02
   293    0.18458E+00    0.21928E-02    0.10790E-02   -0.37354E-02
   294    0.17889E+00    0.21911E-02    0.10700E-02   -0.33792E-02
   295    0.17345E+00    0.21885E-02    0.10610E-02   -0.30251E-02
   296    0.16829E+00    0.21850E-02    0.10519E-02   -0.26736E-02
   297    0.16341E+00    0.21805E-02    0.10427E-02   -0.23256E-02
   298    0.15883E+00    0.21751E-02    0.10336E-02   -0.19816E-02
   299    0.15454E+00    0.21686E-02    0.10243E-02   -0.16423E-02
   300    0.15056E+00    0.21612E-02    0.10151E-02   -0.13084E-02
   301    0.14689E+00    0.21527E-02    0.10059E-02   -0.98048E-03
   302    0.14354E+00    0.21432E-02    0.99661E-03   -0.65868E-03
   303    0.14048E+00    0.21327E-02    0.98736E-03   -0.34308E-03
   304    0.13772E+00    0.21212E-02    0.97810E-03   -0.33739E-04
   305    0.13524E+00    0.21089E-02    0.96886E-03    0.26928E-03
   306    0.13304E+00    0.20957E-02    0.95963E-03    0.56591E-03
   307    0.13111E+00    0.20816E-02    0.95041E-03    0.85608E-03
   308    0.12943E+00    0.20668E-02    0.94123E-03    0.11397E-02
   309    0.12800E+00    0.20511E-02    0.93207E-03    0.14168E-02
   310    0.12682E+00    0.20347E-02    0.92294E-03    0.16872E-02
   311    0.12587E+00    0.20176E-02    0.91385E-03    0.19510E-02
   312    0.12514E+00    0.19998E-02    0.90481E-03    0.22079E-02
   313    0.12463E+00    0.19814E-02    0.89582E-03    0.24580E-02
   314    0.12433E+00    0.19624E-02    0.88688E-03    0.27012E-02
   315    0.12422E+00    0.19427E-02    0.87801E-03    0.29374E-02
   316    0.12431E+00    0.19226E-02    0.86919E-03    0.31666E-02
   317    0.12459E+00    0.19019E-02    0.86045E-03    0.33887E-02
   318    0.12503E+00    0.18807E-02    0.85179E-03    0.36036E-02
   319    0.12564E+00    0.18591E-02    0.84320E-03    0.38113E-02
   320    0.12641E+00    0.18371E-02    0.83470E-03    0.40117E-02
   321    0.12733E+00    0.18147E-02    0.82629E-03    0.42047E-02
   322    0.12839E+00    0.17920E-02    0.81798E-03    0.43903E-02
   323    0.12958E+00    0.17690E-02    0.80977E-03    0.45684E-02
   324    0.13090E+00    0.17456E-02    0.80166E-03    0.47390E-02
   325    0.13233E+00    0.17221E-02    0.79367E-03    0.49020E-02
   326    0.13387E+00    0.16983E-02    0.78579E-03    0.50572E-02
   327    0.13550E+00    0.16743E-02    0.77804E-03    0.52047E-02
   328    0.13723E+00    0.16502E-02    0.77041E-03    0.53445E-02
   329    0.13904E+00    0.16260E-02    0.76291E-03    0.54763E-02
   330    0.14092E+00    0.16017E-02    0.75555E-03    0.56002E-02
   331    0.14286E+00    0.15773E-02    0.74834E-03    0.57160E-02
   332    0.14487E+00    0.15529E-02    0.74127E-03    0.58239E-02
   333    0.14692E+00    0.15286E-02    0.73435E-03    0.59235E-02
   334    0.14901E+00    0.15043E-02    0.72760E-03    0.60150E-02
   335    0.15113E+00    0.14801E-02    0.72100E-03    0.60982E-02
   336    0.15327E+00    0.14560E-02    0.71457E-03    0.61731E-02
   337    0.15543E+00    0.14321E-02    0.70832E-03    0.62396E-02
   338    0.15759E+00    0.14083E-02    0.70225E-03    0.62976E-02
   339    0.15975E+00    0.13848E-02    0.69636E-03    0.63471E-02
   340    0.16190E+00    0.13615E-02    0.69066E-03    0.63880E-02
   341    0.16403E+00    0.13385E-02    0.68515E-03    0.64202E-02
   342    0.16613E+00    0.13158E-02    0.67984E-03    0.64438E-02
   343    0.16820E+00    0.12935E-02    0.67474E-03    0.64585E-02
   344    0.17022E+00    0.12716E-02    0.66984E-03    0.64644E-02
   345    0.17219E+00    0.12500E-02    0.66516E-03    0.64614E-02
   346    0.17409E+00    0.12290E-02    0.66070E-03    0.64494E-02
